"Step","./results_packing - eval/loss","./results_packing - eval/loss__MIN","./results_packing - eval/loss__MAX"
"577","2.1624739170074463","2.1624739170074463","2.1624739170074463"
"579","2.171212911605835","2.171212911605835","2.171212911605835"
"581","2.1219491958618164","2.1219491958618164","2.1219491958618164"
"583","2.18505597114563","2.18505597114563","2.18505597114563"
"585","2.2330613136291504","2.2330613136291504","2.2330613136291504"
"587","2.232513427734375","2.232513427734375","2.232513427734375"
"589","2.1827352046966553","2.1827352046966553","2.1827352046966553"
"591","2.2078497409820557","2.2078497409820557","2.2078497409820557"
"593","2.20757794380188","2.20757794380188","2.20757794380188"
"595","2.1998860836029053","2.1998860836029053","2.1998860836029053"
"597","2.1930501461029053","2.1930501461029053","2.1930501461029053"
"599","2.218695640563965","2.218695640563965","2.218695640563965"
"601","2.196293592453003","2.196293592453003","2.196293592453003"
"603","2.1815803050994873","2.1815803050994873","2.1815803050994873"
"605","2.1363768577575684","2.1363768577575684","2.1363768577575684"
"607","2.1284797191619873","2.1284797191619873","2.1284797191619873"
"609","2.1600096225738525","2.1600096225738525","2.1600096225738525"
"611","2.154634952545166","2.154634952545166","2.154634952545166"
"613","2.1267974376678467","2.1267974376678467","2.1267974376678467"
"615","2.2454559803009033","2.2454559803009033","2.2454559803009033"
"617","2.2500624656677246","2.2500624656677246","2.2500624656677246"
"619","2.2321794033050537","2.2321794033050537","2.2321794033050537"
"621","2.216888904571533","2.216888904571533","2.216888904571533"
"623","2.230654239654541","2.230654239654541","2.230654239654541"
"625","2.223024845123291","2.223024845123291","2.223024845123291"
"627","2.219377279281616","2.219377279281616","2.219377279281616"
"629","2.200880289077759","2.200880289077759","2.200880289077759"
"631","2.1878483295440674","2.1878483295440674","2.1878483295440674"
"633","2.311414957046509","2.311414957046509","2.311414957046509"
"635","2.2989275455474854","2.2989275455474854","2.2989275455474854"
"637","2.31880784034729","2.31880784034729","2.31880784034729"
"639","2.272266387939453","2.272266387939453","2.272266387939453"
"641","2.325679063796997","2.325679063796997","2.325679063796997"
"643","2.2396366596221924","2.2396366596221924","2.2396366596221924"
"645","2.3009870052337646","2.3009870052337646","2.3009870052337646"
"647","2.251343011856079","2.251343011856079","2.251343011856079"
"649","2.229135513305664","2.229135513305664","2.229135513305664"
"651","2.221146821975708","2.221146821975708","2.221146821975708"
"653","2.250775098800659","2.250775098800659","2.250775098800659"
"655","2.223684310913086","2.223684310913086","2.223684310913086"
"657","2.2070295810699463","2.2070295810699463","2.2070295810699463"
"659","2.216887950897217","2.216887950897217","2.216887950897217"
"661","2.189701557159424","2.189701557159424","2.189701557159424"
"663","2.2084577083587646","2.2084577083587646","2.2084577083587646"
"665","2.239403247833252","2.239403247833252","2.239403247833252"
"667","2.272804021835327","2.272804021835327","2.272804021835327"
"669","2.2235732078552246","2.2235732078552246","2.2235732078552246"
"671","2.2589635848999023","2.2589635848999023","2.2589635848999023"
"673","2.287656545639038","2.287656545639038","2.287656545639038"
