"train/global_step","./falcon_results_packing - _step","./falcon_results_packing - _step__MIN","./falcon_results_packing - _step__MAX","./falcon_results_packing - eval/loss","./falcon_results_packing - eval/loss__MIN","./falcon_results_packing - eval/loss__MAX"
"6850","273","273","273","1.3392316102981567","1.3392316102981567","1.3392316102981567"
"6900","275","275","275","1.3378154039382935","1.3378154039382935","1.3378154039382935"
"6950","277","277","277","1.340977430343628","1.340977430343628","1.340977430343628"
"7000","279","279","279","1.338592290878296","1.338592290878296","1.338592290878296"
"7050","281","281","281","1.3365087509155273","1.3365087509155273","1.3365087509155273"
"7100","283","283","283","1.3382539749145508","1.3382539749145508","1.3382539749145508"
"7150","285","285","285","1.3384323120117188","1.3384323120117188","1.3384323120117188"
"7200","287","287","287","1.3372329473495483","1.3372329473495483","1.3372329473495483"
"7250","289","289","289","1.3378320932388306","1.3378320932388306","1.3378320932388306"
"7300","291","291","291","1.3375192880630493","1.3375192880630493","1.3375192880630493"
"7350","293","293","293","1.3377057313919067","1.3377057313919067","1.3377057313919067"
"7400","295","295","295","1.3382859230041504","1.3382859230041504","1.3382859230041504"
"7450","297","297","297","1.3366857767105103","1.3366857767105103","1.3366857767105103"
"7500","299","299","299","1.3358670473098755","1.3358670473098755","1.3358670473098755"
"7550","301","301","301","1.3369511365890503","1.3369511365890503","1.3369511365890503"
"7600","303","303","303","1.3373295068740845","1.3373295068740845","1.3373295068740845"
"7650","305","305","305","1.3379151821136475","1.3379151821136475","1.3379151821136475"
"7700","307","307","307","1.338340163230896","1.338340163230896","1.338340163230896"
"7750","309","309","309","1.339996337890625","1.339996337890625","1.339996337890625"
"7800","311","311","311","1.3385413885116577","1.3385413885116577","1.3385413885116577"
"7850","313","313","313","1.338152289390564","1.338152289390564","1.338152289390564"
"7900","315","315","315","1.3382927179336548","1.3382927179336548","1.3382927179336548"
"7950","317","317","317","1.3399910926818848","1.3399910926818848","1.3399910926818848"
"8000","319","319","319","1.3377991914749146","1.3377991914749146","1.3377991914749146"
"8050","321","321","321","1.3380573987960815","1.3380573987960815","1.3380573987960815"
"8100","323","323","323","1.3381216526031494","1.3381216526031494","1.3381216526031494"
"8150","325","325","325","1.3370146751403809","1.3370146751403809","1.3370146751403809"
"8200","327","327","327","1.3370788097381592","1.3370788097381592","1.3370788097381592"
"8250","329","329","329","1.3382049798965454","1.3382049798965454","1.3382049798965454"
"8300","331","331","331","1.3376760482788086","1.3376760482788086","1.3376760482788086"
"8350","333","333","333","1.3351341485977173","1.3351341485977173","1.3351341485977173"
"8400","335","335","335","1.3365366458892822","1.3365366458892822","1.3365366458892822"
"8450","337","337","337","1.3359711170196533","1.3359711170196533","1.3359711170196533"
"8500","339","339","339","1.336363673210144","1.336363673210144","1.336363673210144"
"8550","341","341","341","1.3363689184188843","1.3363689184188843","1.3363689184188843"
"8600","343","343","343","1.3358073234558105","1.3358073234558105","1.3358073234558105"
"8650","345","345","345","1.3359121084213257","1.3359121084213257","1.3359121084213257"
"8700","347","347","347","1.335372805595398","1.335372805595398","1.335372805595398"
"8750","349","349","349","1.3340518474578857","1.3340518474578857","1.3340518474578857"
"8800","351","351","351","1.336321234703064","1.336321234703064","1.336321234703064"
"8850","353","353","353","1.3363981246948242","1.3363981246948242","1.3363981246948242"
"8900","355","355","355","1.3369224071502686","1.3369224071502686","1.3369224071502686"
"8950","357","357","357","1.3368041515350342","1.3368041515350342","1.3368041515350342"
"9000","359","359","359","1.3369076251983643","1.3369076251983643","1.3369076251983643"
"9050","361","361","361","1.3347203731536865","1.3347203731536865","1.3347203731536865"
"9100","363","363","363","1.3357583284378052","1.3357583284378052","1.3357583284378052"
"9150","365","365","365","1.33761465549469","1.33761465549469","1.33761465549469"
"9200","367","367","367","1.337830662727356","1.337830662727356","1.337830662727356"
"9250","369","369","369","1.3366302251815796","1.3366302251815796","1.3366302251815796"
"9300","371","371","371","1.337704062461853","1.337704062461853","1.337704062461853"
"9350","373","373","373","1.3384844064712524","1.3384844064712524","1.3384844064712524"
"9400","375","375","375","1.335659146308899","1.335659146308899","1.335659146308899"
"9450","377","377","377","1.3356488943099976","1.3356488943099976","1.3356488943099976"
"9500","379","379","379","1.3362644910812378","1.3362644910812378","1.3362644910812378"
"9550","381","381","381","1.3370882272720337","1.3370882272720337","1.3370882272720337"
"9600","383","383","383","1.334549069404602","1.334549069404602","1.334549069404602"
"9650","385","385","385","1.3350409269332886","1.3350409269332886","1.3350409269332886"
"9700","387","387","387","1.335208535194397","1.335208535194397","1.335208535194397"
"9750","389","389","389","1.3349688053131104","1.3349688053131104","1.3349688053131104"
"9800","391","391","391","1.336115837097168","1.336115837097168","1.336115837097168"
"9850","393","393","393","1.3334418535232544","1.3334418535232544","1.3334418535232544"
